股票代號,股票名稱,股數,權重
2330,台積電,1937000,8.3302
5536,聖暉*,3872000,6.937
2345,智邦,831000,3.9744
3264,欣銓,9348000,3.948
2454,聯發科,570000,3.9023
3105,穩懋,4118000,3.8357
2360,致茂,851000,3.7254
6139,亞翔,2463000,3.7239
3491,昇達科,980000,3.4963
6223,旺矽,318000,3.4649
6669,緯穎,306000,3.1542
2383,台光電,342000,3.0932
6147,頎邦,6092000,2.614
4958,臻鼎-KY,2770000,2.508
2059,川湖,246000,2.3222
6285,啟碁,4160000,2.2503
2303,聯電,9288000,2.0777
6257,矽格,4846000,2.0233
3017,奇鋐,420000,2.0208
3583,辛耘,1160000,1.9261
2467,志聖,1512000,1.7058
6488,環球晶,1179000,1.5938
1785,光洋科,5717000,1.5711
2472,立隆電,2870000,1.4722
7769,鴻勁,96000,1.4209
3008,大立光,208000,1.3879
3036,文曄,2391000,1.3441
3702,大聯大,5605000,1.3349
8016,矽創,2284000,1.3104
6274,台燿,455000,1.1626
2316,楠梓電,3486000,1.0151
2368,金像電,406000,1.0061
3711,日月光投控,996000,0.9796
6278,台表科,2277000,0.9792
2327,國巨*,850000,0.9376
2404,漢唐,384000,0.8146
6510,精測,126000,0.814
8996,高力,389000,0.7989
2347,聯強,3458000,0.5628
6531,愛普*,309000,0.522
2351,順德,1393000,0.5157
6831,邁科,230000,0.3464
2376,技嘉,548000,0.3344
2377,微星,1511000,0.3292
2451,創見,535000,0.3234
5274,信驊,9000,0.2853
8046,南電,107000,0.1799
3376,新日興,371000,0.1498
6177,達麗,1712350,0.1474
2885,元大金,1150420,0.1213
3443,創意,1000,0.0097
6805,富世達,1000,0.0034
4441,振大環球,4000,0.0015
8358,金居,1000,0.0009
1519,華城,600,0.0009
3665,貿聯-KY,136,0.0005
2548,華固,2000,0.0004
3706,神達,1400,0.0002
2881,富邦金,250,0.0
2886,兆豐金,1000,0.0
