股票代號,股票名稱,股數,權重
2330,台積電,27000,9.1257
LITE US,魯門特姆控股公司,2000,9.1092
AVGO US,博通公司,3900,7.9419
GOOGL US,Alphabet 公司,4500,7.7276
NVDA US,輝達,7000,7.0957
MU US,美光科技公司,2500,5.8417
TER US,泰瑞達公司,2399,4.4862
AMZN US,AMAZON. COM INC,3000,3.8283
GEV US,奇異維諾瓦公司,750,3.7498
8306 JT,三菱UFJ金融集團公司,30000,2.8449
LRCX US,科林研發股份有限公司,2021,2.6953
SU FP,施奈德電機公司,1400,2.2612
IFX GY,英飛凌科技股份有限公司,8000,2.2201
ENR GY,Siemens Energy AG,2200,2.2155
COHR US,連貫公司,1300,2.1791
WMT UN,沃爾瑪公司,3400,2.1686
HWM US,Howmet航太公司,1700,2.1511
MSFT US,Microsoft Corp,1000,2.1477
6501 JT,日立製作所有限公司,12000,2.016
ETN US,伊頓公開有限公司,1000,2.0071
CRWD US,Crowdstrike控股公司,938,2.0047
GLEN LN,嘉能可公司,40000,1.5483
CAT US,Caterpillar Inc,350,1.382
BWXT US,BWX科技股份有限公司,1100,1.2975
NET US,Cloudflare公司,1200,1.2105
VRTX US,福泰製藥公司,450,1.0019
GS US,高盛集團,200,0.9199
