日期,股票代號,股票名稱,狀態,股數變化,今日股數,今日權重
2026-05-06,1319,東陽實業廠,加碼,632000,2343000,1.78
2026-05-06,1477,聚陽實業,加碼,300000,1111000,2.37
2026-05-06,2059,川湖科技,加碼,11000,42000,1.86
2026-05-06,2204,中華汽車工業,加碼,256000,1645000,0.89
2026-05-06,2308,台達電子工業,加碼,52000,192000,4.26
2026-05-06,2317,鴻海精密工業,加碼,270000,1001000,2.53
2026-05-06,2330,台灣積體電路製造,加碼,82000,303000,6.85
2026-05-06,2345,智邦科技,加碼,25000,94000,2.35
2026-05-06,2357,華碩電腦,加碼,111000,412000,2.6
2026-05-06,2360,致茂電子,加碼,20000,75000,1.77
2026-05-06,2368,金像電子（股）公司,加碼,41000,152000,2.21
2026-05-06,2382,廣達電腦,加碼,178000,659000,2.29
2026-05-06,2383,台光電子材料,加碼,17000,63000,3.13
2026-05-06,2385,群光電子,加碼,412000,1530000,1.98
2026-05-06,2393,億光電子工業,加碼,645000,2390000,1.76
2026-05-06,2454,聯發科技,加碼,18000,34000,1.17
2026-05-06,2548,華固建設,加碼,362000,1345000,1.69
2026-05-06,2618,長榮航空,加碼,1600000,5937000,2.03
2026-05-06,2727,王品餐飲,加碼,61000,394000,0.92
2026-05-06,2731,雄獅旅行社,加碼,142000,911000,1.47
2026-05-06,3017,奇鋐科技,加碼,23000,86000,2.1
2026-05-06,3526,凡甲科技,加碼,160000,591000,2.04
2026-05-06,3592,瑞鼎科技,加碼,184000,683000,1.62
2026-05-06,3665,貿聯控股（BizLink Holding In,加碼,18000,66000,1.82
2026-05-06,3711,日月光投資控股,加碼,73000,271000,1.43
2026-05-06,4105,台灣東洋藥品工業,加碼,181000,1166000,0.86
2026-05-06,4746,台耀化學,加碼,200000,1288000,0.72
2026-05-06,4915,致伸科技,加碼,601000,2225000,1.67
2026-05-06,5274,信驊科技,加碼,3000,10000,1.88
2026-05-06,5534,長虹建設,加碼,198000,1271000,0.99
2026-05-06,6121,新普科技,加碼,119000,443000,1.62
2026-05-06,6223,旺矽科技,加碼,10000,36000,1.79
2026-05-06,6274,台燿科技,加碼,30000,112000,1.48
2026-05-06,6515,穎崴科技,加碼,5000,19000,1.93
2026-05-06,6669,緯穎科技服務,加碼,12000,45000,2.25
2026-05-06,6670,復盛應用科技,加碼,72000,461000,1.19
2026-05-06,6768,志強國際企業,加碼,164000,1054000,0.84
2026-05-06,6805,富世達,加碼,14000,52000,0.98
2026-05-06,7769,鴻勁精密,加碼,11000,42000,2.41
2026-05-06,8210,勤誠興業,加碼,24000,88000,1.17
2026-05-06,8454,富邦媒體科技,加碼,81000,523000,0.95
2026-05-06,9802,鈺齊國際,加碼,221000,1422000,1.14
2026-05-06,9907,統一實業,加碼,702000,4509000,0.78
2026-05-06,9910,豐泰企業,加碼,521000,1929000,1.33
2026-05-06,9938,台灣百和工業,加碼,355000,2270000,1.04
2026-05-06,9941,裕融企業,加碼,225000,1443000,1.1
2026-05-07,1319,東陽實業廠,加碼,405000,2748000,1.72
2026-05-07,1477,聚陽實業,加碼,383000,1494000,2.58
2026-05-07,2204,中華汽車工業,加碼,283000,1928000,0.83
2026-05-07,2308,台達電子工業,加碼,66000,258000,4.61
2026-05-07,2317,鴻海精密工業,加碼,345000,1346000,2.68
2026-05-07,2330,台灣積體電路製造,加碼,105000,408000,7.39
2026-05-07,2344,華邦電子,加碼,367000,1434000,1.28
2026-05-07,2345,智邦科技,加碼,32000,126000,2.53
2026-05-07,2357,華碩電腦,加碼,142000,554000,2.78
2026-05-07,2360,致茂電子,加碼,26000,101000,1.84
2026-05-07,2368,金像電子（股）公司,加碼,53000,205000,2.33
2026-05-07,2382,廣達電腦,加碼,227000,886000,2.39
2026-05-07,2383,台光電子材料,加碼,22000,85000,3.31
2026-05-07,2385,群光電子,加碼,529000,2059000,2.11
2026-05-07,2393,億光電子工業,加碼,413000,2803000,1.59
2026-05-07,2408,南亞科技,加碼,190000,741000,1.67
2026-05-07,2548,華固建設,加碼,232000,1577000,1.54
2026-05-07,2618,長榮航空,加碼,2053000,7990000,2.22
2026-05-07,2727,王品餐飲,加碼,68000,462000,0.84
2026-05-07,2731,雄獅旅行社,加碼,157000,1068000,1.37
2026-05-07,3017,奇鋐科技,加碼,30000,116000,2.2
2026-05-07,3592,瑞鼎科技,加碼,118000,801000,1.52
2026-05-07,3665,貿聯控股（BizLink Holding In,加碼,23000,89000,1.94
2026-05-07,3711,日月光投資控股,加碼,94000,365000,1.55
2026-05-07,4105,台灣東洋藥品工業,加碼,201000,1367000,0.8
2026-05-07,4746,台耀化學,加碼,223000,1511000,0.65
2026-05-07,4915,致伸科技,加碼,383000,2608000,1.5
2026-05-07,5274,信驊科技,加碼,3000,13000,1.82
2026-05-07,5534,長虹建設,加碼,219000,1490000,0.92
2026-05-07,6121,新普科技,加碼,77000,520000,1.51
2026-05-07,6223,旺矽科技,加碼,12000,48000,1.89
2026-05-07,6515,穎崴科技,加碼,7000,26000,2.01
2026-05-07,6669,緯穎科技服務,加碼,16000,61000,2.33
2026-05-07,6670,復盛應用科技,加碼,79000,540000,1.09
2026-05-07,6768,志強國際企業,加碼,181000,1235000,0.82
2026-05-07,6805,富世達,加碼,18000,70000,1.05
2026-05-07,7769,鴻勁精密,加碼,15000,57000,2.61
2026-05-07,8210,勤誠興業,加碼,30000,118000,1.19
2026-05-07,8299,群聯電子,加碼,17000,67000,1.26
2026-05-07,8454,富邦媒體科技,加碼,90000,613000,0.91
2026-05-07,9802,鈺齊國際,加碼,245000,1667000,1.06
2026-05-07,9907,統一實業,加碼,774000,5283000,0.71
2026-05-07,9910,豐泰企業,加碼,332000,2261000,1.24
2026-05-07,9938,台灣百和工業,加碼,392000,2662000,0.95
2026-05-07,9941,裕融企業,加碼,249000,1692000,1.01
